Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Bilingual Spanish Story Retell,,,,,,,
136 database samples,,,,,,,
Context: Narration (FWAY),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 136 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-20.74,,6.77,6.5,7,0.18
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.67,,37.71,10,68,10.26
        C&I Verbal Utts,0 **,-3.4,,35.35,3,68,10.41
        All Words Including Mazes,0 **,-2.97,,270.96,60,548,91.18
        Elapsed Time,---,,,4.05,0.68,10.17,1.53
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-20.29,,97.82,69.44,100,4.82
        % Intelligible Words,0.0% **,-111.45,,99.62,93.33,100,0.89
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.19,,6.39,4.18,9.31,0.89
        MLU in Morphemes,0.00 **,-7.1,,6.58,4.32,9.78,0.93
        % Utterances with Verbs,0.0% **,-3.7,,60.39,31.25,100,16.33
        Mean Verbs per Utterance,0.00 **,-2.93,,0.78,0.33,1.54,0.27
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.96,,227.33,19,437,76.82
        Number Different Words (NDW),0 **,-4.01,,78.62,13,120,19.6
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.04,,30.14,1.13,68,14.75
        Mean Turn Length (words),0.00 *,-1.91,,191.58,2.93,453,100.21
        % Responses to Questions,---,,,83.84,50,100,19.82
        % Responses to Intonation Prompts,---,,,0,0,0,0
        % Utts with Overlapping Speech,0.00%,-0.19,,0.25,0,9.3,1.3
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,71.31,17.57,129.53,23.59
        Pause Time as % of Total Time~,---,,,13.13,0,52.23,12.51
        Maze Words as % of Total Words,0.0% *,-1.47,,11.38,0,37.8,7.77
        % Abandoned Utterances,0.00%,-0.53,,3.3,0,47.37,6.25
ERRORS,,,,,,,
        % Utterances with Errors,0.00%,-0.84,,11.78,0,94.74,14.05
        % Word Errors,0.00%,-0.68,,2.24,0,26.32,3.3
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 91 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 6;6 - 7;0,,,,,,,
