Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Bilingual Spanish Story Retell,,,,,,,
174 database samples,,,,,,,
Context: Narration (FWAY),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 174 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-17.35,,6.21,6,6.5,0.19
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.47,,37.35,14,81,10.75
        C&I Verbal Utts,0 **,-2.98,,33.82,4,78,11.34
        All Words Including Mazes,0 **,-2.7,,253.6,67,581,93.97
        Elapsed Time,---,,,4.08,1.28,10.33,1.51
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-10.21,,94.89,36.84,100,9.29
        % Intelligible Words,0.0% **,-42.89,,98.93,82.61,100,2.31
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.54,,6.09,2.5,8.78,0.93
        MLU in Morphemes,0.00 **,-6.41,,6.26,2.5,9,0.98
        % Utterances with Verbs,0.0% **,-3.2,,58.47,15.38,100,18.28
        Mean Verbs per Utterance,0.00 **,-2.53,,0.73,0.15,1.68,0.29
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.65,,208.59,13,492,78.77
        Number Different Words (NDW),0 **,-3.67,,72.71,8,127,19.83
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.74,,27.63,1.93,81,15.85
        Mean Turn Length (words),0.00 *,-1.63,,166.97,6.21,492,102.46
        % Responses to Questions,---,,,84.55,50,100,20.69
        % Responses to Intonation Prompts,---,,,100,100,100,0
        % Utts with Overlapping Speech,0.00%,-0.2,,0.28,0,11.36,1.37
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,64.8,19.71,112.74,19.77
        Pause Time as % of Total Time~,---,,,13.76,0,63.56,12.53
        Maze Words as % of Total Words,0.0% *,-1.49,,11.01,0,34.62,7.41
        % Abandoned Utterances,0.00%,-0.57,,4.46,0,74.19,7.87
ERRORS,,,,,,,
        % Utterances with Errors,0.00%,-0.89,,9.67,0,56,10.82
        % Word Errors,0.00%,-0.8,,1.82,0,13.04,2.29
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 100 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 6;0 - 6;6,,,,,,,
