Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: NZ-AU Personal Narrative,,,,,,,
47 database samples,,,,,,,
Context: Narration,,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 47 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-17.18,,5.29,5,5.5,0.13
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.35,,70.13,15,142,29.84
        C&I Verbal Utts,0 **,-2.24,,65.06,12,132,28.98
        All Words Including Mazes,0 **,-2,,373.98,28,808,187.35
        Elapsed Time,---,,,6.25,1.7,14.97,2.88
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-28.75,,96.8,85.71,100,3.37
        % Intelligible Words,0.0% **,-24.5,,98.57,73.08,100,4.02
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-4.94,,4.86,1.42,7.74,0.98
        MLU in Morphemes,0.00 **,-5.04,,5.31,1.5,7.99,1.05
        % Utterances with Verbs,0.0% **,-5.77,,71.5,25,93.15,12.39
        Mean Verbs per Utterance,0.00 **,-4.63,,0.92,0.25,1.33,0.2
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.08,,322.34,17,615,154.61
        Number Different Words (NDW),0 **,-2.85,,122.57,14,214,42.98
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-4.41,,1.58,1.07,2.48,0.36
        Mean Turn Length (words),0.00 **,-2.64,,7.66,1.86,16.36,2.9
        % Responses to Questions,---,,,82.19,56.25,100,10.95
        % Responses to Intonation Prompts,---,,,75.63,0,100,36.14
        % Utts with Overlapping Speech,0.00%,-0.82,,1.41,0,5.48,1.71
        % Utts Interrupted Other Speaker,0.00%,-0.55,,0.68,0,5.66,1.25
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,61.48,16.47,109.92,21.81
        Pause Time as % of Total Time,---,,,3.35,0,32.91,6.24
        Maze Words as % of Total Words,0.0% **,-2.1,,9.36,0.38,20.69,4.45
        % Abandoned Utterances,0.00%,-0.78,,1.87,0,12.5,2.39
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.48,,9.79,2.56,36.11,6.61
        % Word Errors,0.0% *,-1.34,,1.87,0.25,7.43,1.39
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
Database selection criteria: Age 5;0 - 5;6,,,,,,,
